ds,y,split
2010-12-01,58960.79,train
2010-12-02,47748.38,train
2010-12-03,46943.71,train
2010-12-05,31774.95,train
2010-12-06,54830.46,train
2010-12-07,99618.2,train
2010-12-08,45389.98,train
2010-12-09,53586.18,train
2010-12-10,59182.92,train
2010-12-12,17329.07,train
2010-12-13,38006.71,train
2010-12-14,45254.73,train
2010-12-15,30444.62,train
2010-12-16,49352.9,train
2010-12-17,45418.33,train
2010-12-19,7534.91,train
2010-12-20,26789.13,train
2010-12-21,47304.090000000004,train
2010-12-22,6199.97,train
2010-12-23,12076.11,train
2011-01-04,16026.08,train
2011-01-05,32634.47,train
2011-01-06,40382.85,train
2011-01-07,28836.59,train
2011-01-09,15778.2,train
2011-01-10,24569.07,train
2011-01-11,68655.59,train
2011-01-12,24693.78,train
2011-01-13,20624.64,train
2011-01-14,47576.9,train
2011-01-16,7242.06,train
2011-01-17,29333.02,train
2011-01-18,95978.05,train
2011-01-19,25934.57,train
2011-01-20,21246.99,train
2011-01-21,32640.3,train
2011-01-23,10400.25,train
2011-01-24,25733.79,train
2011-01-25,29077.47,train
2011-01-26,19922.29,train
2011-01-27,23730.84,train
2011-01-28,20090.65,train
2011-01-30,6615.75,train
2011-01-31,23640.36,train
2011-02-01,29034.99,train
2011-02-02,21216.2,train
2011-02-03,23479.83,train
2011-02-04,25162.19,train
2011-02-06,3457.11,train
2011-02-07,25955.010000000002,train
2011-02-08,20949.920000000002,train
2011-02-09,16692.58,train
2011-02-10,14896.460000000001,train
2011-02-11,22873.1,train
2011-02-13,5713.63,train
2011-02-14,26703.51,train
2011-02-15,39875.74,train
2011-02-16,24949.1,train
2011-02-17,26372.670000000002,train
2011-02-18,16208.75,train
2011-02-20,9624.69,train
2011-02-21,36388.75,train
2011-02-22,32498.35,train
2011-02-23,26891.6,train
2011-02-24,22809.84,train
2011-02-25,20595.74,train
2011-02-27,9526.5,train
2011-02-28,21755.63,train
2011-03-01,26354.96,train
2011-03-02,18690.79,train
2011-03-03,36404.0,train
2011-03-04,19506.8,train
2011-03-06,10005.37,train
2011-03-07,32356.55,train
2011-03-08,25081.62,train
2011-03-09,22038.84,train
2011-03-10,26120.22,train
2011-03-11,25475.18,train
2011-03-13,4148.12,train
2011-03-14,26019.55,train
2011-03-15,23493.49,train
2011-03-16,21948.36,train
2011-03-17,39904.94,train
2011-03-18,28171.79,train
2011-03-20,22153.49,train
2011-03-21,16715.52,train
2011-03-22,31515.58,train
2011-03-23,24091.67,train
2011-03-24,36697.14,train
2011-03-25,31394.21,train
2011-03-27,9241.35,train
2011-03-28,23176.72,train
2011-03-29,70711.92,train
2011-03-30,31885.28,train
2011-03-31,34335.9,train
2011-04-01,25667.510000000002,train
2011-04-03,6943.15,train
2011-04-04,33254.24,train
2011-04-05,30144.77,train
2011-04-06,17362.36,train
2011-04-07,18512.89,train
2011-04-08,25295.64,train
2011-04-10,9913.98,train
2011-04-11,22353.27,train
2011-04-12,25570.3,train
2011-04-13,24484.42,train
2011-04-14,36104.07,train
2011-04-15,28334.121,train
2011-04-17,12725.5,train
2011-04-18,56026.18,train
2011-04-19,24338.7,train
2011-04-20,28670.47,train
2011-04-21,32615.63,train
2011-04-26,31047.43,train
2011-04-27,25942.44,train
2011-04-28,22501.55,train
2011-05-01,6973.66,train
